,Words,ranking,soundex
0,2 girls 1 cup,4,2642
1,acrotomophilia,3,A263
2,alabama hot pocket,4,A415
3,alaskan pipeline,4,A425
4,anal,2,A540
5,anilingus,4,A545
6,anus,2,A520
7,apeshit,3,A123
8,arsehole,2,A624
9,ass,2,A200
10,asshole,2,A240
11,assmunch,3,A252
12,auto erotic,3,A363
13,autoerotic,3,A363
14,babeland,2,B453
15,baby batter,4,B360
16,baby juice,4,B200
17,ball gag,4,B420
18,ball gravy,4,B426
19,ball kicking,2,B425
20,ball licking,4,B425
21,ball sack,2,B420
22,ball sucking,3,B425
23,bangbros,3,B521
24,bangbus,4,B521
25,bareback,3,B612
26,barely legal,1,B642
27,barenaked,2,B652
28,bastard,2,B236
29,bastardo,2,B236
30,bastinado,2,B235
31,bbw,2,B000
32,bdsm,4,B325
33,beaner,2,B560
34,beaners,2,B562
35,beaver cleaver,4,B624
36,beaver lips,4,B641
37,beastiality,4,B234
38,bestiality,4,B234
39,big black,1,B214
40,big breasts,2,B216
41,big knockers,2,B252
42,big tits,2,B232
43,bimbos,2,B512
44,birdlock,3,B634
45,bitch,2,B320
46,bitches,2,B320
47,black cock,5,B420
48,blonde action,2,B453
49,blonde on blonde action,4,B453
50,blowjob,4,B421
51,blow job,4,B421
52,blow your load,4,B464
53,blue waffle,4,B414
54,blumpkin,4,B451
55,bollocks,2,B420
56,bondage,4,B532
57,boner,4,B560
58,boob,2,B000
59,boobs,2,B200
60,booty call,1,B324
61,brown showers,5,B652
62,brunette action,2,B653
63,bukkake,2,B200
64,bulldyke,3,B432
65,bullet vibe,4,B431
66,bullshit,1,B423
67,bung hole,2,B524
68,bunghole,2,B524
69,busty,1,B230
70,butt,1,B300
71,buttcheeks,1,B320
72,butthole,1,B340
73,camel toe,1,C543
74,camgirl,4,C526
75,camslut,4,C524
76,camwhore,4,C560
77,carpet muncher,4,C613
78,carpetmuncher,4,C613
79,chocolate rosebuds,5,C436
80,cialis,3,C420
81,circlejerk,5,C624
82,cleveland steamer,5,C414
83,clit,4,C430
84,clitoris,4,C436
85,clover clamps,5,C416
86,clusterfuck,1,C423
87,cock,2,C000
88,cocks,2,C000
89,coprolagnia,4,C164
90,coprophilia,4,C161
91,cornhole,1,C654
92,coon,2,C500
93,coons,2,C520
94,creampie,3,C651
95,cum,3,C500
96,cumming,3,C520
97,cumshot,3,C523
98,cumshots,3,C523
99,cunnilingus,3,C545
100,cunt,2,C530
101,darkie,2,D620
102,date rape,3,D610
103,daterape,3,D610
